Equip/Connector Name	JCI SNE	Local IP (temporary)	OTTO IP	UDP Port (temporary)	Device ID	Network Name	Network Number	MAC Address	Equip Type	Name in JCI
AHU-2	SNE-1	10.250.3.41	10.255.238.41	47811	4191006	FC-1	2000	6	AHU	AHU-2
TU-2-1	SNE-1	10.250.3.41	10.255.238.41	47811	4192017	FC-1	2000	17	VAV	VAV-RH-CURT-CO2
TU-2-2	SNE-1	10.250.3.41	10.255.238.41	47811	4192018	FC-1	2000	18	VAV	VAV-RH-CURT-CO2
TU-2-3	SNE-1	10.250.3.41	10.255.238.41	47811	4192019	FC-1	2000	19	VAV	VAV-RH-CURT-CO2
TU-2-4	SNE-1	10.250.3.41	10.255.238.41	47811	4192020	FC-1	2000	20	VAV	VAV-RH-CURT-CO2
TU-2-5	SNE-1	10.250.3.41	10.255.238.41	47811	4192021	FC-1	2000	21	VAV	VAV-RH-CURT-CO2
TU-2-6	SNE-1	10.250.3.41	10.255.238.41	47811	4192022	FC-1	2000	22	VAV	VAV-RH-CURT-CO2
TU-2-7	SNE-1	10.250.3.41	10.255.238.41	47811	4192023	FC-1	2000	23	VAV	VAV-RH-CURT-CO2
TU-2-8	SNE-1	10.250.3.41	10.255.238.41	47811	4192024	FC-1	2000	24	VAV	VAV-RH-CURT-CO2
TU-2-9	SNE-1	10.250.3.41	10.255.238.41	47811	4192025	FC-1	2000	25	VAV	VAV-RH-CURT-CO2
TU-2-10	SNE-1	10.250.3.41	10.255.238.41	47811	4192026	FC-1	2000	26	VAV	VAV-RH-CURT-CO2
TU-2-11	SNE-1	10.250.3.41	10.255.238.41	47811	4192027	FC-1	2000	27	VAV	VAV-RH-CURT-CO2
TU-2-12	SNE-1	10.250.3.41	10.255.238.41	47811	4192028	FC-1	2000	28	VAV	VAV-RH-CURT-CO2
TU-2-13	SNE-1	10.250.3.41	10.255.238.41	47811	4192029	FC-1	2000	29	VAV	VAV-RH-CURT-CO2
AHU-1	SNE-1	10.250.3.41	10.255.238.41	47811	4192005	FC-2	2002	5	AHU	AHU-1
TU-1-1	SNE-1	10.250.3.41	10.255.238.41	47811	4191007	FC-2	2002	7	VAV	VAV-RH-CURT-CO2 TU-1-1
TU-1-2	SNE-1	10.250.3.41	10.255.238.41	47811	4191008	FC-2	2002	8	VAV	TU-1-2
TU-1-3	SNE-1	10.250.3.41	10.255.238.41	47811	4191009	FC-2	2002	9	VAV	TU-1-3
TU-1-4	SNE-1	10.250.3.41	10.255.238.41	47811	4191010	FC-2	2002	10	VAV	TU-1-4
TU-1-5	SNE-1	10.250.3.41	10.255.238.41	47811	4191011	FC-2	2002	11	VAV	TU-1-5
TU-1-6	SNE-1	10.250.3.41	10.255.238.41	47811	4191012	FC-2	2002	12	VAV	TU-1-6
TU-1-7	SNE-1	10.250.3.41	10.255.238.41	47811	4191013	FC-2	2002	13	VAV	TU-1-7
TU-1-8	SNE-1	10.250.3.41	10.255.238.41	47811	4191014	FC-2	2002	14	VAV	TU-1-8
TU-1-9	SNE-1	10.250.3.41	10.255.238.41	47811	4191015	FC-2	2002	15	VAV	TU-1-9
TU-1-10	SNE-1	10.250.3.41	10.255.238.41	47811	4191016	FC-2	2002	16	VAV	TU-1-10
F-1	SNE-1	10.250.3.41	10.255.238.41	47811	4191030	FC-2	2002	30	EF	TEC3000-30
F-2	SNE-1	10.250.3.41	10.255.238.41	47811	2000031	FC-2	2002	31	EF	31-CGM04060 Default State
F-3	SNE-1	10.250.3.41	10.255.238.41	47811	4191032	FC-2	2002	32	EF	TEC3000-32
