id,cu,disMacro,equip,equipRef,fc,navName,siteRef,type,mod
@p:gbsonomacounty:r:2dd14697-3172e66b Sonoma Academy PAC AHU-1,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2dbb3f38-ba1b966f Sonoma Academy PAC AHU-1-System,"",AHU-1,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-05-10T20:56:55.47Z UTC
@p:gbsonomacounty:r:2dd14432-6b27113c Sonoma Academy PAC CU-5 System,"",$siteRef $navName,✓,"","",CU-5 System,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-05-10T21:05:48.774Z UTC
@p:gbsonomacounty:r:2dd143f9-00b53ec6 Sonoma Academy PAC FC-2-2,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2dd14858-c8237c76 Sonoma Academy PAC CU-1 System,✓,FC-2-2,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-06-22T05:31:54.11Z UTC
@p:gbsonomacounty:r:2dd143a1-fb876c5b Sonoma Academy PAC FC-1-3,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2dd14858-c8237c76 Sonoma Academy PAC CU-1 System,✓,FC-1-3,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-06-22T05:31:54.11Z UTC
@p:gbsonomacounty:r:2dd14898-4d9e305f Sonoma Academy PAC CU-4 System,"",$siteRef $navName,✓,"","",CU-4 System,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-05-10T21:05:28.279Z UTC
@p:gbsonomacounty:r:2dd14642-2df5c3b0 Sonoma Academy PAC FC-4-1,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2dd14898-4d9e305f Sonoma Academy PAC CU-4 System,✓,FC-4-1,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-06-22T05:31:54.11Z UTC
@p:gbsonomacounty:r:2da36bda-16a2252e Sonoma Academy PAC VAV-3 Stage Return,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2dbb3f38-ba1b966f Sonoma Academy PAC AHU-1-System,"",VAV-3 Stage Return,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,VAV,2024-09-28T17:14:29.734Z UTC
@p:gbsonomacounty:r:2dd145d2-60c833ed Sonoma Academy PAC FC-2-7&8&9,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2dd14858-c8237c76 Sonoma Academy PAC CU-1 System,✓,FC-2-7&8&9,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-06-22T05:31:54.11Z UTC
@p:gbsonomacounty:r:2dd14379-cf906c4e Sonoma Academy PAC FC-1-1,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2dd14858-c8237c76 Sonoma Academy PAC CU-1 System,✓,FC-1-1,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-06-22T05:31:54.11Z UTC
@p:gbsonomacounty:r:2dd14607-1182ed47 Sonoma Academy PAC FC-3-3,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2dd14898-4d9e305f Sonoma Academy PAC CU-4 System,✓,FC-3-3,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-06-22T05:31:54.11Z UTC
