Equipment	Building	Location	BAC Router	Local IP	OTTO IP	UDP Port	Device ID	Network	MAC Address	MaxAirflowSP-Design	MinAirflowSP-Design
VAV-01-01	BLDG1/AREA B	Nursing 142	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171006	17100	6	1060	500
CV-01-02	BLDG1/AREA B	Boy's Clinic 140	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171007	17100	7	325	325
CV-01-03	BLDG1/AREA B	Girl's Clinic 141	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171008	17100	8	190	190
CV-01-04	BLDG1/AREA B	 Clinic Reception 140C	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171009	17100	9	150	150
VAV-01-05	BLDG1/AREA B	 Guidance Reception 137	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171010	17100	10	325	130
VAV-01-06	BLDG1/AREA B	 Guidance 131	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171011	17100	11	375	150
VAV-01-07	BLDG1/AREA B	 Guidance 132/134/136	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171012	17100	12	480	200
VAV-01-08	BLDG1/AREA B	 Guidance 128/130	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171013	17100	13	315	130
VAV-01-09	BLDG1/AREA B	 Guidance 124/126	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171014	17100	14	320	130
VAV-01-10	BLDG1/AREA B	Conference 127	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171015	17100	15	770	310
VAV-01-11	BLDG1/AREA B	Records 123	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171016	17100	16	315	130
CV-01-12	BLDG1/AREA B	Corridor 100H	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171017	17100	17	290	290
VAV-01-13	BLDG1/AREA B	AP2 117	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171018	17100	18	395	160
VAV-01-14	BLDG1/AREA B	Gen Office 111	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171019	17100	19	385	160
CV-01-15	BLDG1/AREA B	Work Room 116	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171020	17100	20	205	205
VAV-01-16	BLDG1/AREA B	Text Book 114	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171021	17100	21	450	285
VAV-01-17	BLDG1/AREA B	Careers 122	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171022	17100	22	505	205
VAV-01-18	BLDG1/AREA B	Conference 104	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171023	17100	23	415	170
VAV-01-19	BLDG1/AREA B	Reception 102	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171024	17100	24	975	390
VAV-01-20	BLDG1/AREA B	Electrical Room 108	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171025	17100	25	355	145
VAV-01-21	BLDG1/AREA B	IDF 108A	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171026	17100	26	325	130
VAV-01-22	BLDG1/AREA B	Secretary 106	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171027	17100	27	340	225
VAV-01-23	BLDG1/AREA B	Lobby 100	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171028	17100	28	1800	720
VAV-01-24	BLDG1/AREA B	Conference 105	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171029	17100	29	435	175
VAV-01-25	BLDG1/AREA B	Principal 107	NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171030	17100	30	400	160
AHU-1_ERV-1	BLDG1/AREA B		NETWORK 1 /AHU-1 & ERV-1	10.19.76.21	10.61.254.21	47871	171004	17100	4		
