Equip/Connector Name	Building	Location	BAC Router	Local IP	OTTO IP	UDP Port	Device ID	Network	MAC Address	MaxAirflowSP-Design	MinAirflowSP-Design
CV-2B-01	BLDG2/AREA A	Store 227	NETWORK 3 /AHU-2B & ERV-2B	10.19.76.23	10.61.254.23	47871	171156	17120	6	200	200
VAV-2B-02	BLDG2/AREA A	Store 227	NETWORK 3 /AHU-2B & ERV-2B	10.19.76.23	10.61.254.23	47871	171157	17120	7	150	100
VAV-2B-03	BLDG2/AREA A	Media Production 221K	NETWORK 3 /AHU-2B & ERV-2B	10.19.76.23	10.61.254.23	47871	171158	17120	8	875	350
VAV-2B-04	BLDG2/AREA A	Office 221R	NETWORK 3 /AHU-2B & ERV-2B	10.19.76.23	10.61.254.23	47871	171159	17120	9	190	80
VAV-2B-05	BLDG2/AREA A	Tech Processing 221H	NETWORK 3 /AHU-2B & ERV-2B	10.19.76.23	10.61.254.23	47871	171160	17120	10	600	355
VAV-2B-06	BLDG2/AREA A	IDF 221N	NETWORK 3 /AHU-2B & ERV-2B	10.19.76.23	10.61.254.23	47871	171161	17120	11	225	100
VAV-2B-07	BLDG2/AREA A	Small Group 221D	NETWORK 3 /AHU-2B & ERV-2B	10.19.76.23	10.61.254.23	47871	171162	17120	12	370	190
VAV-2B-08	BLDG2/AREA A	 Group Project 221B	NETWORK 3 /AHU-2B & ERV-2B	10.19.76.23	10.61.254.23	47871	171163	17120	13	895	450
VAV-2B-09	BLDG2/AREA A		NETWORK 3 /AHU-2B & ERV-2B	10.19.76.23	10.61.254.23	47871	171164	17120	14	1460	660
VAV-2B-10	BLDG2/AREA A	Media 221	NETWORK 3 /AHU-2B & ERV-2B	10.19.76.23	10.61.254.23	47871	171165	17120	15	4015	1665
AHU-2B_ERV-2B	BLDG2/AREA A		NETWORK 3 /AHU-2B & ERV-2B	10.19.76.23	10.61.254.23	47871	171154	17120	4	n/a	n/a
